Afghanistan,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/24/2014 10:46,dittemoremb
Albania,Yes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/22/2014 4:59,dittemoremb
Algeria,,,,
Andorra,Yes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/22/2014 4:24,dittemoremb
Angola,Yes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/22/2014 3:49,dittemoremb
Antarctica,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/24/2014 10:11,dittemoremb
Antigua and Barbuda,Unsure,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/22/2014 19:26,dittemoremb
Argentina,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/24/2014 9:37,dittemoremb
Armenia,Yes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/22/2014 3:15,dittemoremb
Australia,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.
Morbi tempus neque ut nisl gravida, sit amet pulvinar ligula faucibus.
Quisque pellentesque turpis sit amet lorem lobortis, at euismod lacus vehicula.
In quis turpis vel enim placerat lacinia.
Nullam vitae risus sit amet enim aliquet tristique.
Vestibulum ut quam sed urna commodo ultricies.
Ut blandit ligula quis iaculis lobortis.
Cras efficitur ipsum eget metus sollicitudin, eget facilisis libero vulputate.
Sed viverra lectus eu enim rhoncus venenatis.
Integer cursus felis bibendum, consectetur lorem sit amet, bibendum leo.
Quisque accumsan purus ac lacinia volutpat.
Proin et purus rutrum, placerat erat a, accumsan lectus.
Aliquam quis est lacinia, posuere libero id, mattis sapien.
Proin dictum libero nec justo luctus, nec ornare urna egestas.
Sed convallis eros eu lorem iaculis volutpat.
Duis eu tellus accumsan, condimentum nulla quis, consectetur magna.
Ut ultricies urna ut diam lobortis sodales.
Sed facilisis libero et semper convallis.",9/24/2014 9:02,dittemoremb
